6	96	77	46	52
67	45	81	8	76
58	30	80	98	76
37	8	39	78	3
64	92	14	71	5
26	2	27	57	4
28	10	37	10	20
58	41	72	19	49
36	97	62	51	8
84	50	99	26	22
8	36	89	81	61
25	21	70	97	83
86	8	51	41	21
91	69	40	2	73
77	11	53	14	63
5	54	51	36	23
58	12	80	96	28
20	16	78	57	59
70	27	63	91	73
73	88	2	35	63
67	69	63	31	81
12	75	10	46	85
61	65	58	99	84
14	52	21	71	9
81	72	68	75	7
95	33	33	71	56
15	74	12	75	8
21	31	32	62	20
71	81	53	15	96
9	29	89	20	90
36	37	69	4	21
98	76	25	97	48
100	2	9	55	99
16	98	38	70	7
61	55	3	23	10
91	9	38	49	5
33	18	39	97	25
28	4	87	20	12
42	82	80	40	42
46	81	38	14	100
56	16	63	55	52
73	58	65	39	69
76	73	93	43	76
92	23	3	95	17
13	25	48	36	31
64	8	20	34	95
75	52	33	43	74
93	50	12	17	59
21	12	95	10	45
100	14	93	47	58
51	43	2	26	5
41	70	54	92	16
91	14	10	85	95
20	71	30	100	52
33	95	61	53	18
100	77	30	82	48
21	71	45	2	2
94	39	20	53	72
61	23	20	64	77
28	80	64	50	95
95	46	86	91	35
61	99	93	93	62
15	15	48	96	70
16	68	44	67	49
92	62	21	93	55
55	84	34	53	66
67	32	44	19	58
58	77	17	99	28
41	94	71	74	83
47	78	78	39	37
92	75	67	33	89
55	41	44	39	92
64	41	73	8	35
8	53	49	24	99
72	90	80	66	3
38	14	54	13	99
16	53	66	48	59
23	58	23	73	47
13	36	34	4	67
88	1	91	48	2
43	63	40	69	29
33	84	68	35	4
50	6	38	79	56
43	73	19	23	21
14	57	30	1	33
2	59	96	78	5
66	47	18	51	27
52	11	83	18	23
76	72	61	18	85
48	47	50	86	4
42	13	60	28	9
25	11	100	5	28
77	65	69	61	67
17	64	3	22	70
92	64	12	18	41
63	72	92	75	14
39	93	34	40	92
33	30	94	43	16
68	58	58	74	69
4	44	57	3	17
75	80	51	60	80
2	99	27	5	43
23	76	45	88	6
4	12	83	76	14
58	42	40	15	79
91	37	23	64	45
59	78	20	35	6
49	73	53	84	56
78	67	13	55	39
64	37	99	10	51
15	71	70	14	86
7	56	8	94	73
65	54	78	64	73
48	53	75	80	13
82	49	25	1	98
55	96	83	40	28
91	14	6	87	67
16	63	42	83	31
14	100	11	85	58
28	80	84	60	6
57	68	86	76	2
15	9	32	49	24
95	81	77	33	89
57	88	93	97	16
19	57	71	50	81
18	37	56	6	10
46	56	19	15	48
35	87	63	100	73
47	69	95	90	45
12	87	16	11	60
60	22	72	39	95
13	2	89	35	22
68	69	57	78	87
80	68	1	65	45
6	56	90	33	37
40	32	40	1	17
40	62	96	66	16
33	32	3	53	42
98	35	67	65	5
7	15	91	90	42
17	19	95	85	51
42	89	51	50	40
93	100	36	65	28
30	54	88	4	62
14	59	95	99	64
21	94	29	40	25
45	15	7	74	70
11	63	100	69	42
78	3	4	75	49
38	63	81	82	30
87	86	23	8	54
92	90	74	33	76
10	71	54	72	35
88	21	76	23	59
33	56	49	97	83
43	86	62	1	1
68	32	77	23	79
84	29	84	36	51
47	23	13	26	41
29	97	14	98	59
76	98	6	82	26
45	52	31	59	66
80	42	18	79	50
26	23	47	43	7
73	7	13	42	86
33	66	49	13	42
20	17	26	16	100
20	70	21	43	36
38	19	19	72	86
15	51	16	27	42
36	75	85	33	48
33	10	8	61	98
47	13	68	82	29
10	54	21	61	16
38	57	63	80	30
12	79	77	14	76
73	41	69	99	85
91	77	53	8	48
10	25	35	81	12
87	73	45	18	24
25	45	24	30	38
7	15	99	90	99
33	15	75	92	100
28	15	33	51	92
20	52	60	87	37
10	40	10	1	91
79	69	49	34	87
58	91	23	40	75
90	5	35	42	7
16	38	70	53	37
99	33	45	64	98
59	62	87	64	53
86	43	99	11	86
92	46	68	87	92
52	17	44	32	12
75	65	35	64	76
21	11	74	1	28
45	47	3	21	22
87	19	77	65	31
36	7	72	79	41
